Datetime,Tweet_Id,Tweet,Username,Reply_Count,Retweet_Count,Like_Count,Bank,Tweet_Clean,Sentiment,Hate_Speech,Offensive,Topic_Sport
2014-03-28 07:06:27+00:00,449442375098957824,@CapitecBankSA I would pay d balance that I owe to get my Diploma nd start looking for a better job then invest from my salary at Capitec,Lindimadiba,0,0,0,capitec,i would pay d balance that i owe to get my diploma nd start looking for a better job then invest from my salary at capitec,neutral,non-hate,non-offensive,business_&_entrepreneurs
2018-10-02 08:17:43+00:00,1047037900620206081,Am I the only one struggling to log onto my @FNBSA app?,Ms_Hloni,0,0,0,fnb,am i the only one struggling to log onto my app,negative,non-hate,non-offensive,science_&_technology
2020-09-21 12:01:05+00:00,1308013377223110657,"@busrep Definitely agree that the banks, and notably @FNBSA do not support the government's SME Covid19 Loan Guarantee Scheme. Whilst we do not believe race was a determining factor (even though we were declined at 51% Black-owned) the failure to assist SME's need to be investigated.",ResDevFGroup,0,0,0,fnb,definitely agree that the banks and notably do not support the government sme covid loan guarantee scheme whilst we do not believe race was a determining factor even though we were declined at blackowned the failure to assist sme need to be investigated,negative,non-hate,non-offensive,business_&_entrepreneurs
2021-03-30 08:23:13+00:00,1376812242109394950,"@Nedbank I managed to process a payment late afternoon yesterday. However the instant payment option was greyed out, so again I'm sitting with a delayed payment. I'm just not winning.",Asiphe50,1,0,0,nedbank,i managed to process a payment late afternoon yesterday however the instant payment option was greyed out so again im sitting with a delayed payment im just not winning,negative,non-hate,non-offensive,business_&_entrepreneurs
2017-05-28 10:13:37+00:00,868772239562473472,@Orlando_Pirates You let us down this season but we love you juju and you own us the nedbank please make us smile up the bucs,matshoba_nelson,0,0,1,nedbank,you let us down this season but we love you juju and you own us the nedbank please make us smile up the bucs,positive,non-hate,non-offensive,sports_&_gaming
2020-12-03 17:43:14+00:00,1334553797209825281,@Rbjacobs @FNBSA Please note that l have sent an email and its now almost a month without any response,Charlie21119439,1,0,0,fnb,please note that l have sent an email and its now almost a month without any response,negative,non-hate,non-offensive,daily_life
2014-08-30 19:17:54+00:00,505796571540496384,"""@twinnie114: When are we playing bafana ba ba nedbank? Dream team sumfing?""on the 7th of Sept",KwaneleB_Ndlovu,0,0,0,nedbank,when are we playing bafana ba ba nedbank dream team sumfingon the th of sept,neutral,non-hate,non-offensive,sports_&_gaming
2018-07-26 08:19:59+00:00,1022396097413697536,".@Beyonce, @S_C_, @CassperNyovest &amp; more are headed to Joburg for @GlblCtzn Festival Mandela 100 at FNB Stadium on 2 December. Learn how to earn your free tickets! https://t.co/mtOZoGkwH8",unathi49779697,0,0,0,fnb,amp more are headed to joburg for festival mandela at fnb stadium on december learn how to earn your free tickets,neutral,non-hate,non-offensive,pop_culture
2020-01-01 20:32:10+00:00,1212471598592249856,@TotoGeza VBS BANK NOW IS CAPITEC 🏃‍♂️🏃‍♂️🏃‍♂️,BaneleBakzaSA,0,0,0,capitec,vbs bank now is capitec,neutral,non-hate,non-offensive,business_&_entrepreneurs
2022-08-12 15:11:15+00:00,1558108861776658432,"@AbsaSouthAfrica Gauteng Province 

#ICanWithAbsaDrive",SMoketse,0,0,0,absa,gauteng province,neutral,non-hate,non-offensive,daily_life
2022-09-29 14:20:33+00:00,1575490719317311490,"@FNBSA You're such a useless bank, I have been trying to get a refund from my smartbond closed account since July, and it has still not been processed, called your 0877366000 nr with no response. Sent several emails with no response either. I'm so revolted by your service.",piwokuhle1,1,0,0,fnb,youre such a useless bank i have been trying to get a refund from my smartbond closed account since july and it has still not been processed called your nr with no response sent several emails with no response either im so revolted by your service,negative,non-hate,offensive,business_&_entrepreneurs
2021-06-25 08:13:04+00:00,1408337434019090432,The 25th is a bad day to start maintenance on your banking app @AbsaSouthAfrica,ta_grillz,0,0,0,absa,the th is a bad day to start maintenance on your banking app,negative,non-hate,non-offensive,business_&_entrepreneurs
2015-09-17 21:34:11+00:00,644625421082996736,"And just like that I've officially become a special guest of #ABSA for the weekend here in #London,… https://t.co/FTzTmXVyKW",PharSideWSA,0,0,0,absa,and just like that ive officially become a special guest of for the weekend here in,positive,non-hate,non-offensive,daily_life
2022-06-20 14:59:36+00:00,1538899374310404096,"@CrowleySA Thank you so much for the kudos, Memento! I'm ecstatic you're enjoying the perks of banking with FNB 😉 RB",Rb__sa,0,0,1,fnb,thank you so much for the kudos memento im ecstatic youre enjoying the perks of banking with fnb rb,positive,non-hate,non-offensive,business_&_entrepreneurs
